Time,4518-PE,4518-NoPe,4520-PE,4520-NoPe,4524-PE,4524-NoPe,4529-PE,4529-NoPe,4537-PE,4537-NoPe,4538-PE,4538-NoPe,4518-PE,4518-NoPe,4545-PE,4545-NoPe,4548-PE,4548-NoPe,4553-PE,4553-NoPe,Sigma-PE,Sigma-NoPe,FYDip-PE,FYDip-NoPe
0:15:00,0.1086666667,0.1146666667,0.109,0.1116666667,0.105,0.1163333333,0.1083333333,0.12,0.106,0.1093333333,0.1073333333,0.1123333333,0.106,0.112,0.1126666667,0.1136666667,0.11,0.1123333333,0.1106666667,0.15,0.109,0.111,0.1113333333,0.109
0:30:00,0.111,0.1153333333,0.1106666667,0.1096666667,0.1076666667,0.1136666667,0.1106666667,0.1253333333,0.1066666667,0.1076666667,0.1086666667,0.1123333333,0.108,0.1133333333,0.1163333333,0.1153333333,0.1126666667,0.1143333333,0.116,0.184,0.1096666667,0.1096666667,0.1123333333,0.1096666667
0:45:00,0.114,0.119,0.113,0.1103333333,0.11,0.1166666667,0.1146666667,0.1366666667,0.1073333333,0.1083333333,0.1116666667,0.115,0.1106666667,0.1173333333,0.1213333333,0.1196666667,0.116,0.12,0.123,0.2066666667,0.111,0.1106666667,0.1146666667,0.1116666667
1:00:00,0.117,0.1253333333,0.1146666667,0.1113333333,0.1133333333,0.121,0.119,0.149,0.109,0.1093333333,0.1156666667,0.119,0.114,0.1226666667,0.126,0.1253333333,0.1196666667,0.127,0.1306666667,0.2253333333,0.1116666667,0.1133333333,0.118,0.114
1:15:00,0.1216666667,0.1326666667,0.117,0.113,0.117,0.127,0.1246666667,0.1643333333,0.11,0.1106666667,0.12,0.1236666667,0.118,0.1303333333,0.132,0.1313333333,0.1246666667,0.1353333333,0.145,0.2433333333,0.1123333333,0.116,0.1206666667,0.1166666667
1:30:00,0.1266666667,0.1433333333,0.1186666667,0.1156666667,0.1206666667,0.1333333333,0.131,0.1823333333,0.1116666667,0.1126666667,0.1253333333,0.131,0.123,0.1416666667,0.1403333333,0.1393333333,0.1296666667,0.1456666667,0.157,0.2626666667,0.1143333333,0.1196666667,0.124,0.1203333333
1:45:00,0.133,0.154,0.1213333333,0.1183333333,0.126,0.1416666667,0.1396666667,0.2023333333,0.1136666667,0.115,0.1326666667,0.141,0.1296666667,0.1586666667,0.1496666667,0.1476666667,0.1346666667,0.1573333333,0.1713333333,0.28,0.1153333333,0.123,0.1276666667,0.1253333333
2:00:00,0.1393333333,0.1663333333,0.124,0.1213333333,0.1316666667,0.1493333333,0.1486666667,0.221,0.116,0.118,0.1416666667,0.1526666667,0.138,0.175,0.159,0.158,0.1406666667,0.1706666667,0.182,0.3016666667,0.117,0.1276666667,0.1323333333,0.13
2:15:00,0.1463333333,0.1826666667,0.1276666667,0.124,0.1383333333,0.1593333333,0.1586666667,0.2416666667,0.1176666667,0.12,0.1523333333,0.164,0.148,0.1946666667,0.1706666667,0.1683333333,0.1476666667,0.1833333333,0.1906666667,0.316,0.1183333333,0.1326666667,0.138,0.1356666667
2:30:00,0.1546666667,0.2053333333,0.1306666667,0.128,0.145,0.167,0.169,0.2616666667,0.1203333333,0.1233333333,0.1643333333,0.181,0.159,0.2193333333,0.1816666667,0.1786666667,0.156,0.1983333333,0.2016666667,0.3333333333,0.1196666667,0.139,0.1436666667,0.142
