Time,Sep-PE avg,Sep-NoPE avg,Jun-PE avg,Jun-NoPE avg,Sep-PE,Sep-NoPE,Jun-PE,Jun-NoPE
0:45:00,0.1146666667,0.1116666667,0.1253333333,0.123,0.111,0.1106666667,0.122,0.128
1:00:00,0.118,0.114,0.129,0.1253333333,0.1116666667,0.1133333333,0.1233333333,0.1286666667
1:15:00,0.1206666667,0.1166666667,0.133,0.1283333333,0.1123333333,0.116,0.1246666667,0.1306666667
1:30:00,0.124,0.1203333333,0.1376666667,0.132,0.1143333333,0.1196666667,0.1256666667,0.133
1:45:00,0.1276666667,0.1253333333,0.1426666667,0.136,0.1153333333,0.123,0.128,0.1356666667
2:00:00,0.1323333333,0.13,0.1476666667,0.1416666667,0.117,0.1276666667,0.1293333333,0.139
2:15:00,0.138,0.1356666667,0.1546666667,0.148,0.1183333333,0.1326666667,0.1316666667,0.1426666667
2:30:00,0.1436666667,0.142,0.1626666667,0.156,0.1196666667,0.139,0.134,0.1466666667
2:45:00,0.151,0.15,0.1726666667,0.1653333333,0.1223333333,0.1463333333,0.1366666667,0.1506666667
3:00:00,0.1596666667,0.16,0.1846666667,0.1766666667,0.125,0.1543333333,0.1396666667,0.1566666667
3:15:00,0.1706666667,0.1716666667,0.199,0.191,0.128,0.164,0.1426666667,0.1626666667
3:30:00,0.184,0.1853333333,0.2146666667,0.208,0.1316666667,0.175,0.147,0.1703333333
3:45:00,0.201,0.2026666667,0.2333333333,0.227,0.1353333333,0.188,0.152,0.1786666667
4:00:00,0.218,0.2216666667,0.2566666667,0.2483333333,0.1406666667,0.203,0.158,0.1886666667
4:15:00,0.238,0.243,0.2823333333,0.2733333333,0.146,0.22,0.164,0.1993333333
4:30:00,0.265,0.271,0.313,0.301,0.1526666667,0.2383333333,0.172,0.213
4:45:00,0.2926666667,0.3003333333,0.349,0.3356666667,0.1603333333,0.2606666667,0.1823333333,0.229
5:00:00,0.3263333333,0.332,0.3833333333,0.3723333333,0.169,0.2863333333,0.1943333333,0.2483333333
5:15:00,0.358,0.3693333333,0.4263333333,0.4123333333,0.1803333333,0.309,0.2093333333,0.2723333333
5:30:00,0.3986666667,0.411,0.4763333333,0.4596666667,0.1926666667,0.3326666667,0.2243333333,0.2993333333
5:45:00,0.441,0.4576666667,0.5256666667,0.5093333333,0.2073333333,0.3663333333,0.243,0.3283333333
6:00:00,0.4896666667,0.5056666667,0.5796666667,0.5656666667,0.224,0.3923333333,0.2676666667,0.3583333333
6:15:00,0.5373333333,0.554,0.639,0.6216666667,0.2456666667,0.422,0.291,0.389
6:30:00,0.5923333333,0.6116666667,0.6976666667,0.6833333333,0.2706666667,0.4573333333,0.3176666667,0.4263333333
6:45:00,0.6503333333,0.6706666667,0.7633333333,0.7496666667,0.298,0.4823333333,0.3416666667,0.4636666667
7:00:00,0.7056666667,0.7263333333,0.8303333333,0.809,0.3243333333,0.516,0.371,0.5013333333
7:15:00,0.7683333333,0.7853333333,0.897,0.8776666667,0.3513333333,0.5433333333,0.4,0.539
7:30:00,0.8273333333,0.844,0.96,0.9473333333,0.3803333333,0.5796666667,0.4323333333,0.5786666667
7:45:00,0.884,0.9046666667,1.030333333,1.010666667,0.4066666667,0.6063333333,0.463,0.6203333333
8:00:00,0.9476666667,0.9566666667,1.101,1.078666667,0.435,0.6356666667,0.4893333333,0.6626666667
8:15:00,1.013,1.009666667,1.163333333,1.138333333,0.4666666667,0.6663333333,0.5226666667,0.704
8:30:00,1.075,1.066,1.229333333,1.199,0.4986666667,0.698,0.551,0.7436666667
8:45:00,1.138333333,1.115,1.289666667,1.245666667,0.534,0.725,0.58,0.7913333333
9:00:00,1.188333333,1.158666667,1.346333333,1.303666667,0.564,0.7473333333,0.6136666667,0.827
9:15:00,1.240666667,1.207666667,1.394666667,1.339,0.594,0.7746666667,0.638,0.8733333333
9:30:00,1.293,1.248,1.433333333,1.379666667,0.6273333333,0.8066666667,0.6716666667,0.919
